transaction_id,source_account,destination_account,amount,transaction_datetime,operation_type
TXN000001,CTA10001,CTA20001,505,21/09/2026 08:15,TRANSFERENCIA
TXN000002,CTA10002,CTA20002,250.5,21/09/2026 08:20,TRANSFERENCIA
TXN000003,CTA10003,CTA20003,9999.99,21/09/2026 08:25,TRANSFERENCIA
TXN000004,CTA10004,CTA20004,75,21/09/2026 08:30,PAGO
TXN000005,CTA10005,CTA20005,3200,21/09/2026 08:35,TRANSFERENCIA
TXN000006,CTA10006,CTA20006,180.75,21/09/2026 08:40,PAGO
TXN000007,CTA10007,CTA20007,450,21/09/2026 08:45,TRANSFERENCIA
TXN000008,CTA10008,CTA20008,12500,21/09/2026 08:50,TRANSFERENCIA
TXN000009,CTA10009,CTA20009,60,21/09/2026 08:55,PAGO
TXN000010,CTA10010,CTA20010,875.4,21/09/2026 09:00,TRANSFERENCIA
TXN000011,CTA10011,CTA20011,2100,21/09/2026 09:05,TRANSFERENCIA
TXN000012,CTA10012,CTA20012,99.9,21/09/2026 09:10,PAGO
TXN000013,CTA10013,CTA20013,5000,21/09/2026 09:15,TRANSFERENCIA
TXN000014,CTA10014,CTA20014,350.25,21/09/2026 09:20,PAGO
TXN000015,CTA10015,CTA20015,720,21/09/2026 09:25,TRANSFERENCIA
TXN000016,CTA10016,CTA20016,800,21/09/2026 09:30,TRANSFERENCIA
TXN000017,CTA10017,CTA20016,450,21/09/2026 09:35,TRANSFERENCIA
TXN000018,CTA10018,CTA20018,-125,21/09/2026 09:40,PAGO
TXN000019,CTA10019,CTA20019,300,21/09/2026 09:45,TRANSFERENCIA
TXN000020,CTA10020,CTA20020,800,21/09/2026 09:50,INVALIDO
TXN000021,TXN000021,CTA20021,1000,21/09/2026 10:00,TRANSFERENCIA
TXN000022,CTA10022,CTA20022,1000,21/09/2026 10:05,PAGO
TXN000023,CTA10023,CTA20023,250,2026-13-40 10:10:00,TRANSFERENCIA
TXN000024,CTA10024,CTA20024,400,21/09/2026 10:15,TRANSFERENCIA
